년월,한국,,,,,외국,,,,,전체,,,
,개봉편수,상영편수,매출액,관객수,점유율,개봉편수,상영편수,매출액,관객수,점유율,개봉편수,상영편수,매출액,관객수
2023-01,43,122,"44,930,621,839","4,464,796",39.7%,81,199,"79,142,587,534","6,785,561",60.3%,124,321,"124,073,209,373","11,250,357"
2023-02,32,95,"13,445,424,160","1,271,914",19.8%,72,202,"55,605,073,815","5,149,381",80.2%,104,297,"69,050,497,975","6,421,295"
2023-03,52,117,"21,465,852,011","1,874,516",25.1%,93,230,"58,556,782,604","5,601,689",74.9%,145,347,"80,022,634,615","7,476,205"
2023-04,18,93,"7,050,450,291","716,275",20.0%,17,130,"29,660,440,990","2,866,404",80.0%,35,223,"36,710,891,281","3,582,679"
